                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                  1.845,                 1.1002,                 2.1542,                0.85012,                0.81023,                0.82012,                0.62956,                 1.6001,                0.65256,                 2.0267,              0.0073013,              0.0073013,              0.0073013
                     56,                 1.8687,                 1.1434,                 2.1686,                0.92511,                0.73779,                0.80136,                0.60283,                 1.6113,                0.65879,                 2.0274,              0.0072514,              0.0072514,              0.0072514
                     57,                 1.8785,                 1.1187,                  2.179,                0.84018,                0.73322,                0.75096,                0.57844,                 1.5871,                0.65137,                 2.0249,              0.0072014,              0.0072014,              0.0072014
                     58,                 1.8997,                 1.1617,                 2.1773,                0.76687,                0.77773,                 0.7647,                0.59483,                 1.5819,                0.64709,                 2.0199,              0.0071514,              0.0071514,              0.0071514
                     59,                 1.8893,                 1.1351,                 2.1777,                0.85932,                0.77292,                0.81401,                0.61875,                 1.5812,                0.63924,                   2.02,              0.0071014,              0.0071014,              0.0071014
                     60,                 1.8605,                 1.1291,                 2.1496,                0.93933,                 0.7076,                0.77161,                 0.5932,                  1.564,                0.63373,                 2.0023,              0.0070515,              0.0070515,              0.0070515
                     61,                 1.8623,                 1.1313,                 2.1542,                0.94181,                0.69786,                0.78742,                 0.6025,                   1.56,                0.62973,                 1.9935,              0.0070015,              0.0070015,              0.0070015
                     62,                 1.8671,                 1.1269,                  2.164,                0.93938,                0.73721,                0.80412,                0.62774,                 1.5585,                0.63155,                 2.0007,              0.0069515,              0.0069515,              0.0069515
                     63,                 1.8498,                 1.1097,                 2.1494,                0.90264,                0.78197,                0.80795,                0.62298,                 1.5522,                0.63072,                 1.9963,              0.0069015,              0.0069015,              0.0069015
                     64,                  1.853,                 1.1218,                 2.1528,                0.89198,                0.81871,                 0.8312,                0.63791,                 1.5434,                0.62651,                 1.9908,              0.0068516,              0.0068516,              0.0068516
                     65,                  1.851,                 1.1061,                 2.1501,                0.93382,                0.81188,                0.83665,                0.65547,                 1.5414,                0.61875,                 1.9894,              0.0068016,              0.0068016,              0.0068016
                     66,                 1.8843,                 1.1354,                  2.165,                0.91024,                0.78113,                0.83834,                0.65754,                 1.5297,                 0.6094,                  1.982,              0.0067516,              0.0067516,              0.0067516
                     67,                 1.9181,                 1.1606,                 2.1938,                0.89097,                0.77948,                0.85085,                0.66553,                 1.5226,                0.60937,                 1.9811,              0.0067016,              0.0067016,              0.0067016
                     68,                  1.926,                 1.1486,                 2.1867,                 0.9193,                0.79884,                0.86668,                0.67429,                 1.5167,                0.60524,                 1.9777,              0.0066517,              0.0066517,              0.0066517
                     69,                 1.6374,                0.95498,                 2.0486,                0.83635,                0.83104,                0.87475,                 0.6741,                 1.5026,                0.59317,                  1.968,              0.0066017,              0.0066017,              0.0066017
                     70,                 1.7056,                 1.0044,                 2.0827,                0.88201,                 0.8879,                0.90845,                0.68555,                 1.4949,                  0.592,                 1.9654,              0.0065517,              0.0065517,              0.0065517
                     71,                 1.7308,                 1.0392,                 2.1028,                0.78998,                0.88688,                0.85804,                0.66321,                 1.4955,                0.58861,                 1.9677,              0.0065017,              0.0065017,              0.0065017
                     72,                 1.7418,                 1.0276,                 2.1158,                0.78063,                0.84648,                0.82455,                 0.6408,                 1.4955,                  0.583,                 1.9684,              0.0064518,              0.0064518,              0.0064518
                     73,                 1.7557,                 1.0497,                 2.1059,                0.75628,                0.81215,                0.81329,                 0.6343,                 1.4919,                0.58374,                 1.9669,              0.0064018,              0.0064018,              0.0064018
                     74,                 1.7538,                 1.0388,                  2.112,                0.77774,                0.80945,                0.83262,                0.65602,                 1.4874,                0.58503,                 1.9652,              0.0063518,              0.0063518,              0.0063518
                     75,                 1.7282,                  1.036,                 2.0931,                0.82856,                0.77662,                0.84251,                0.66712,                 1.4861,                0.58551,                 1.9635,              0.0063019,              0.0063019,              0.0063019
                     76,                 1.7395,                 1.0395,                  2.098,                0.82355,                0.77897,                 0.8382,                 0.6672,                 1.4831,                0.58583,                 1.9574,              0.0062519,              0.0062519,              0.0062519
                     77,                 1.7417,                 1.0331,                  2.095,                0.70132,                0.85721,                0.81927,                0.65972,                 1.4796,                0.58244,                 1.9553,              0.0062019,              0.0062019,              0.0062019
                     78,                 1.7289,                 1.0141,                 2.0938,                0.74731,                0.85493,                0.82028,                0.66326,                 1.4742,                0.58558,                 1.9517,              0.0061519,              0.0061519,              0.0061519
                     79,                 1.7328,                 1.0209,                 2.0916,                0.76258,                0.82751,                0.82401,                0.66757,                 1.4715,                0.57877,                 1.9531,              0.0061019,              0.0061019,              0.0061019
                     80,                  1.736,                 1.0177,                 2.0962,                0.78264,                0.82322,                0.83637,                0.67881,                 1.4697,                   0.58,                  1.954,               0.006052,               0.006052,               0.006052
                     81,                 1.7635,                  1.044,                 2.1085,                0.88544,                0.77662,                0.84601,                0.68711,                 1.4652,                0.57823,                 1.9515,               0.006002,               0.006002,               0.006002
                     82,                  1.493,                0.85077,                 1.9899,                0.79567,                0.81921,                0.83855,                 0.6816,                 1.4614,                0.57661,                 1.9489,               0.005952,               0.005952,               0.005952
                     83,                 1.5782,                0.90329,                 2.0254,                0.80558,                0.81573,                0.84917,                0.69152,                 1.4595,                0.57024,                 1.9477,              0.0059021,              0.0059021,              0.0059021
                     84,                 1.6042,                0.94611,                 2.0488,                0.89751,                0.77662,                0.85194,                0.68553,                 1.4591,                0.56818,                 1.9489,              0.0058521,              0.0058521,              0.0058521
                     85,                 1.6168,                0.93071,                 2.0504,                0.81024,                0.85453,                0.86032,                0.68407,                 1.4551,                 0.5678,                 1.9453,              0.0058021,              0.0058021,              0.0058021
                     86,                 1.6464,                0.96879,                 2.0543,                0.86245,                0.84928,                0.86528,                0.68704,                 1.4534,                0.56489,                 1.9425,              0.0057521,              0.0057521,              0.0057521
                     87,                 1.6473,                0.95295,                 2.0625,                0.81694,                0.85093,                0.86337,                0.68814,                 1.4499,                 0.5654,                  1.941,              0.0057022,              0.0057022,              0.0057022
                     88,                 1.6271,                0.95719,                 2.0465,                0.81303,                0.85068,                0.84549,                0.67532,                 1.4484,                0.56524,                 1.9411,              0.0056522,              0.0056522,              0.0056522
                     89,                 1.6377,                0.96695,                 2.0547,                 0.8105,                   0.85,                 0.8459,                0.67191,                 1.4468,                0.56421,                 1.9399,              0.0056022,              0.0056022,              0.0056022
                     90,                 1.6525,                 0.9619,                 2.0552,                 0.8033,                0.84835,                0.82354,                0.65966,                 1.4431,                0.56566,                 1.9391,              0.0055522,              0.0055522,              0.0055522
                     91,                 1.6513,                0.96561,                 2.0554,                0.76141,                0.81876,                0.81668,                0.65476,                 1.4396,                0.56393,                 1.9371,              0.0055022,              0.0055022,              0.0055022
                     92,                 1.6782,                0.98059,                 2.0605,                0.75292,                0.82067,                0.81387,                0.65251,                 1.4381,                0.55974,                 1.9365,              0.0054523,              0.0054523,              0.0054523
                     93,                 1.6839,                0.97748,                  2.072,                0.75914,                0.83822,                0.81626,                0.65072,                 1.4351,                0.55774,                 1.9358,              0.0054023,              0.0054023,              0.0054023
                     94,                 1.7182,                 1.0051,                 2.0861,                0.77366,                0.85292,                0.83038,                0.66459,                 1.4315,                0.55716,                  1.933,              0.0053523,              0.0053523,              0.0053523
                     95,                 1.7671,                 1.0429,                  2.118,                 0.7763,                0.85198,                 0.8388,                0.66553,                 1.4273,                 0.5557,                 1.9321,              0.0053023,              0.0053023,              0.0053023
                     96,                 1.3512,                0.77344,                 1.9373,                0.78606,                 0.8527,                0.83818,                0.66602,                 1.4265,                0.55549,                 1.9324,              0.0052524,              0.0052524,              0.0052524
                     97,                 1.4523,                0.83302,                 1.9777,                0.79022,                0.85209,                0.83865,                 0.6669,                 1.4253,                0.55422,                 1.9313,              0.0052024,              0.0052024,              0.0052024
                     98,                 1.4907,                0.86401,                 2.0004,                 0.8016,                0.83508,                0.84134,                0.66859,                 1.4243,                0.55384,                 1.9325,              0.0051524,              0.0051524,              0.0051524
                     99,                 1.5015,                0.86772,                 2.0043,                0.80864,                0.85129,                0.84045,                0.66737,                 1.4231,                0.55205,                 1.9317,              0.0051024,              0.0051024,              0.0051024
                    100,                  1.541,                0.90278,                 2.0158,                0.79384,                0.85292,                0.83921,                0.66852,                 1.4214,                0.55005,                 1.9309,              0.0050525,              0.0050525,              0.0050525
                    101,                   1.55,                0.89462,                 2.0178,                0.79405,                0.85093,                0.83884,                0.66895,                 1.4195,                0.54959,                 1.9301,              0.0050025,              0.0050025,              0.0050025
                    102,                 1.5403,                0.89476,                 2.0115,                 0.7941,                0.85104,                0.83983,                0.66839,                 1.4189,                0.54787,                 1.9307,              0.0049525,              0.0049525,              0.0049525
                    103,                 1.5578,                0.90619,                 2.0235,                0.79364,                0.85147,                0.84049,                0.67037,                 1.4188,                0.54718,                 1.9303,              0.0049026,              0.0049026,              0.0049026
